model,feature,group,importance
random_forest,district_nsi_population_urban_ratio,public_demographics,0.0027256461728295666
random_forest,district_nsi_population_total,public_demographics,0.002700241530079723
random_forest,district_nsi_population_female,public_demographics,0.0026684901808996415
random_forest,district_nsi_population_male,public_demographics,0.0022528987393987364
random_forest,Has_Suspended,subscriber_status,0.001974905000715839
random_forest,bg_place_count,geo_billing_zone,0.001481404239272086
random_forest,AvgFIXRevenue,revenue_size,0.0007584685168551885
random_forest,Mobile_Revenue_Ratio,revenue_size,0.0007343884200032187
random_forest,nsi_district_found,public_demographics,0.0007218660028093838
random_forest,Fixed_To_Mobile_Ratio,revenue_size,0.0006575073284266892
random_forest,nsi_municipality_found,public_demographics,0.0006041278210730985
random_forest,Mobile_To_Fixed_Ratio,revenue_size,0.0006017200779190567
random_forest,Fixed_Revenue_Ratio,revenue_size,0.00031252933894067726
random_forest,bg_zip_found,geo_billing_zone,0.000287006606367939
random_forest,Mobile_Only,revenue_size,0.00024325248348128377
random_forest,Fixed_Only,revenue_size,0.0
random_forest,bg_geo_accuracy,geo_billing_zone,0.0
random_forest,district_nsi_workage_population_total,public_demographics,0.0
random_forest,district_nsi_under_working_age_total,public_demographics,0.0
random_forest,district_nsi_under_working_age_urban,public_demographics,0.0
random_forest,district_nsi_working_working_age_total,public_demographics,0.0
random_forest,district_nsi_working_working_age_urban,public_demographics,0.0
random_forest,district_nsi_over_working_age_total,public_demographics,0.0
random_forest,district_nsi_over_working_age_urban,public_demographics,0.0
random_forest,district_nsi_under_working_age_total_ratio,public_demographics,0.0
random_forest,district_nsi_working_working_age_total_ratio,public_demographics,0.0
random_forest,district_nsi_over_working_age_total_ratio,public_demographics,0.0
