model,strategy,sample_weight_mode,scale_pos_weight,selected_threshold,val_best_f1,test_roc_auc,test_average_precision,test_geomean_f1_recall,train_seconds,test_tuned_threshold,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_threshold,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,test_f1_at_0_2,test_recall_at_0_2,test_precision_at_0_2,test_f1_at_0_25,test_recall_at_0_25,test_precision_at_0_25,test_f1_at_0_3,test_recall_at_0_3,test_precision_at_0_3,test_f1_at_0_35,test_recall_at_0_35,test_precision_at_0_35,test_f1_at_0_4,test_recall_at_0_4,test_precision_at_0_4,test_f1_at_0_5,test_recall_at_0_5,test_precision_at_0_5
random_xgb_09,random_search_fallback,none,4.830080114589393,0.05367371812462807,0.1530944625407166,0.5538353171180496,0.0816902813905479,0.20988389829298523,1.399,0.05367371812462807,0.12751677852348994,0.07818930041152264,0.34545454545454546,1133,448,72,38,0.2874039030159669,0.5,0.05673758865248227,0.12903225806451613,0.03636363636363636,1554,27,106,4,0.018332347723240685,0.12096774193548387,0.13636363636363635,0.10869565217391304,0.125,0.12727272727272726,0.12280701754385964,0.10416666666666667,0.09090909090909091,0.12195121951219512,0.06976744186046512,0.05454545454545454,0.0967741935483871,0.07692307692307693,0.05454545454545454,0.13043478260869565,0.05673758865248227,0.03636363636363636,0.12903225806451613
random_xgb_16,random_search_fallback,none,6.4046486380174965,0.12506648898124695,0.14585414585414588,0.5476712092461617,0.08845619637849692,0.2619363179255036,1.822,0.12506648898124695,0.12578616352201258,0.07109004739336493,0.5454545454545454,797,784,50,60,0.4991129509166174,0.5,0.07643312101910828,0.1276595744680851,0.05454545454545454,1540,41,104,6,0.027794204612655235,0.12758620689655173,0.33636363636363636,0.07872340425531915,0.102803738317757,0.2,0.06918238993710692,0.09907120743034056,0.14545454545454545,0.07511737089201878,0.12749003984063745,0.14545454545454545,0.11347517730496454,0.13526570048309178,0.12727272727272726,0.14432989690721648,0.07643312101910828,0.05454545454545454,0.1276595744680851
random_xgb_00,random_search_fallback,none,3.1397885209532372,0.035744644701480865,0.14343707713125844,0.5550313380484158,0.08351215089929037,0.22925612443543897,1.621,0.035744644701480865,0.12568306010928962,0.07395498392282958,0.41818181818181815,1005,576,64,46,0.3678296865759905,0.5,0.072992700729927,0.18518518518518517,0.045454545454545456,1559,22,105,5,0.01596688350088705,0.11666666666666667,0.12727272727272726,0.1076923076923077,0.10328638497652583,0.1,0.10679611650485436,0.07567567567567568,0.06363636363636363,0.09333333333333334,0.07058823529411765,0.05454545454545454,0.1,0.07547169811320754,0.05454545454545454,0.12244897959183673,0.072992700729927,0.045454545454545456,0.18518518518518517
random_xgb_07,random_search_fallback,none,7.816276007977778,0.03577043116092682,0.13774834437086095,0.5524207923638663,0.08581464489105128,0.23049187214846237,1.936,0.03577043116092682,0.12433862433862433,0.07275541795665634,0.42727272727272725,982,599,63,47,0.38202247191011235,0.5,0.056338028169014086,0.125,0.03636363636363636,1553,28,106,4,0.018923713778829097,0.11406844106463879,0.13636363636363635,0.09803921568627451,0.11555555555555555,0.11818181818181818,0.11304347826086956,0.09375,0.08181818181818182,0.10975609756097561,0.0989010989010989,0.08181818181818182,0.125,0.075,0.05454545454545454,0.12,0.056338028169014086,0.03636363636363636,0.125
random_xgb_12,random_search_fallback,none,7.555375277878513,0.3508787751197815,0.15432098765432098,0.5444454027945489,0.09224411601018313,0.15379354258534172,0.959,0.3508787751197815,0.12389380530973451,0.09170305676855896,0.19090909090909092,1373,208,89,21,0.1354228267297457,0.5,0.11891891891891893,0.14666666666666667,0.1,1517,64,99,11,0.044352454169130695,0.11345646437994723,0.39090909090909093,0.06635802469135803,0.11965811965811966,0.3181818181818182,0.07368421052631578,0.11659192825112108,0.23636363636363636,0.07738095238095238,0.12316715542521994,0.19090909090909092,0.09090909090909091,0.11583011583011583,0.13636363636363635,0.10067114093959731,0.11891891891891893,0.1,0.14666666666666667
random_xgb_04,random_search_fallback,none,6.993105592808901,0.21007513999938965,0.1484480431848853,0.5570007475130815,0.09162609923713319,0.22488758430474898,1.056,0.21007513999938965,0.12362637362637363,0.07281553398058252,0.4090909090909091,1008,573,65,45,0.3654642223536369,0.5,0.09580838323353294,0.14035087719298245,0.07272727272727272,1532,49,102,8,0.033707865168539325,0.1203585147247119,0.42727272727272725,0.07004470938897168,0.12195121951219512,0.3181818181818182,0.07543103448275862,0.14218009478672985,0.2727272727272727,0.09615384615384616,0.11842105263157894,0.16363636363636364,0.09278350515463918,0.13733905579399142,0.14545454545454545,0.13008130081300814,0.09580838323353294,0.07272727272727272,0.14035087719298245
random_xgb_23,random_search_fallback,none,9.521744938213534,0.032376911491155624,0.1432748538011696,0.5472687022022885,0.07904442989719886,0.21513017393089515,2.24,0.032376911491155624,0.12121212121212122,0.07204116638078903,0.38181818181818183,1040,541,68,42,0.34476641040804257,0.5,0.055944055944055944,0.12121212121212122,0.03636363636363636,1552,29,106,4,0.019515079834417505,0.09053497942386832,0.1,0.08270676691729323,0.07441860465116279,0.07272727272727272,0.0761904761904762,0.061855670103092786,0.05454545454545454,0.07142857142857142,0.05555555555555555,0.045454545454545456,0.07142857142857142,0.049689440993788817,0.03636363636363636,0.0784313725490196,0.055944055944055944,0.03636363636363636,0.12121212121212122
random_xgb_10,random_search_fallback,none,4.716514657217114,0.13368283212184906,0.14460511679644047,0.550241504226324,0.08716206599522264,0.23895736639468032,1.364,0.13368283212184906,0.1207897793263647,0.0692410119840213,0.4727272727272727,882,699,58,52,0.44411590774689536,0.5,0.04580152671755725,0.14285714285714285,0.02727272727272727,1563,18,107,3,0.012418687167356593,0.12571428571428572,0.3,0.07951807228915662,0.11859838274932614,0.2,0.0842911877394636,0.10486891385767791,0.12727272727272726,0.08917197452229299,0.11822660098522167,0.10909090909090909,0.12903225806451613,0.10227272727272728,0.08181818181818182,0.13636363636363635,0.04580152671755725,0.02727272727272727,0.14285714285714285
random_xgb_18,random_search_fallback,none,8.554428325782935,0.09542179852724075,0.14687499999999998,0.5395376919096084,0.08152773603477617,0.20642434436221543,1.918,0.09542179852724075,0.12018489984591679,0.07235621521335807,0.35454545454545455,1081,500,71,39,0.3187463039621526,0.5,0.08,0.15,0.05454545454545454,1547,34,104,6,0.02365464222353637,0.11078717201166181,0.17272727272727273,0.0815450643776824,0.1003584229390681,0.12727272727272726,0.08284023668639054,0.10699588477366255,0.11818181818181818,0.09774436090225563,0.09900990099009901,0.09090909090909091,0.10869565217391304,0.09944751381215469,0.08181818181818182,0.1267605633802817,0.08,0.05454545454545454,0.15
random_xgb_11,random_search_fallback,none,3.9176625754287797,0.058282069861888885,0.1443661971830986,0.5402593295382669,0.07897620703430556,0.18585500072725525,1.653,0.058282069861888885,0.11873840445269017,0.07459207459207459,0.2909090909090909,1184,397,78,32,0.25369603784742756,0.5,0.029197080291970802,0.07407407407407407,0.01818181818181818,1556,25,108,2,0.01596688350088705,0.1285140562248996,0.14545454545454545,0.11510791366906475,0.06796116504854369,0.06363636363636363,0.07291666666666667,0.08,0.06363636363636363,0.1076923076923077,0.049689440993788817,0.03636363636363636,0.0784313725490196,0.04054054054054054,0.02727272727272727,0.07894736842105263,0.029197080291970802,0.01818181818181818,0.07407407407407407
xgb_focal_positive_spw5,focal_style_reweighting,focal_positive,5.0,0.9496959447860718,0.16,0.5499597492956126,0.09034878590359566,0.18278035001937987,1.061,0.9496959447860718,0.11854684512428298,0.07506053268765134,0.2818181818181818,1199,382,79,31,0.244234180958013,0.5,0.11978860833822666,0.064030131826742,0.9272727272727272,90,1491,8,102,0.9420461265523359,0.12283640424343942,1.0,0.06543723973825104,0.12128017967434025,0.9818181818181818,0.06463195691202872,0.12104072398190045,0.9727272727272728,0.06453558504221954,0.12052302444570778,0.9636363636363636,0.06428138265615524,0.12075905692926969,0.9545454545454546,0.06445672191528545,0.11978860833822666,0.9272727272727272,0.064030131826742
random_xgb_01,random_search_fallback,none,5.091990416021656,0.020580163225531578,0.1391304347826087,0.538680926916221,0.07796337005234362,0.23636363636363636,1.757,0.020580163225531578,0.11818181818181818,0.06753246753246753,0.4727272727272727,863,718,58,52,0.4553518628030751,0.5,0.04477611940298507,0.125,0.02727272727272727,1560,21,107,3,0.014192785334121822,0.09917355371900827,0.10909090909090909,0.09090909090909091,0.10377358490566038,0.1,0.10784313725490197,0.09424083769633508,0.08181818181818182,0.1111111111111111,0.08,0.06363636363636363,0.1076923076923077,0.03821656050955414,0.02727272727272727,0.06382978723404255,0.04477611940298507,0.02727272727272727,0.125
random_xgb_15,random_search_fallback,none,7.06541409902539,0.3443313241004944,0.15272727272727274,0.5494537404404577,0.08814509754982586,0.1387491870188641,1.2,0.3443313241004944,0.11764705882352941,0.09183673469387756,0.16363636363636364,1403,178,92,18,0.1159077468953282,0.5,0.09302325581395349,0.12903225806451613,0.07272727272727272,1527,54,102,8,0.03666469544648137,0.12179487179487179,0.34545454545454546,0.07392996108949416,0.125,0.2727272727272727,0.08108108108108109,0.11764705882352941,0.2,0.08333333333333333,0.11409395973154363,0.15454545454545454,0.09042553191489362,0.100418410041841,0.10909090909090909,0.09302325581395349,0.09302325581395349,0.07272727272727272,0.12903225806451613
random_xgb_02,random_search_fallback,none,7.775101883135603,0.2812533378601074,0.15503875968992248,0.5462423092404117,0.08232743206233885,0.15885681415715885,1.608,0.2812533378601074,0.11566265060240964,0.07868852459016394,0.21818181818181817,1300,281,86,24,0.1803666469544648,0.5,0.07741935483870968,0.13333333333333333,0.05454545454545454,1542,39,104,6,0.026611472501478415,0.12951807228915663,0.39090909090909093,0.0776173285198556,0.13253012048192772,0.3,0.08505154639175258,0.11170212765957446,0.19090909090909092,0.07894736842105263,0.11469534050179211,0.14545454545454545,0.09467455621301775,0.10714285714285714,0.10909090909090909,0.10526315789473684,0.07741935483870968,0.05454545454545454,0.13333333333333333
random_xgb_03,random_search_fallback,none,5.7357359926533995,0.039541441947221756,0.1442953020134228,0.5446840319705595,0.08302452454416853,0.18492401464306857,1.407,0.039541441947221756,0.11398963730569948,0.07036247334754797,0.3,1145,436,77,33,0.2773506800709639,0.5,0.03076923076923077,0.1,0.01818181818181818,1563,18,108,2,0.011827321111768185,0.11555555555555555,0.11818181818181818,0.11304347826086956,0.0975609756097561,0.09090909090909091,0.10526315789473684,0.08743169398907104,0.07272727272727272,0.1095890410958904,0.08536585365853659,0.06363636363636363,0.12962962962962962,0.06711409395973154,0.045454545454545456,0.1282051282051282,0.03076923076923077,0.01818181818181818,0.1
random_xgb_17,random_search_fallback,none,8.923622016885526,0.07505586743354797,0.14748201438848924,0.5422804899085734,0.08024887486390742,0.1844467905838999,2.252,0.07505586743354797,0.1134020618556701,0.06991525423728813,0.3,1142,439,77,33,0.27912477823772913,0.5,0.052980132450331126,0.0975609756097561,0.03636363636363636,1544,37,106,4,0.02424600827912478,0.11683848797250859,0.15454545454545454,0.09392265193370165,0.11023622047244094,0.12727272727272726,0.09722222222222222,0.10572687224669604,0.10909090909090909,0.10256410256410256,0.09137055837563451,0.08181818181818182,0.10344827586206896,0.0782122905027933,0.06363636363636363,0.10144927536231885,0.052980132450331126,0.03636363636363636,0.0975609756097561
random_xgb_05,random_search_fallback,none,5.471773792671257,0.06385821104049683,0.13658536585365852,0.5492266114657007,0.08946717148730485,0.18984207059597488,1.285,0.06385821104049683,0.11326860841423948,0.0688976377952756,0.3181818181818182,1108,473,75,35,0.3004139562389119,0.5,0.07092198581560284,0.16129032258064516,0.045454545454545456,1555,26,105,5,0.018332347723240685,0.1198501872659176,0.14545454545454545,0.10191082802547771,0.1145374449339207,0.11818181818181818,0.1111111111111111,0.11055276381909548,0.1,0.12359550561797752,0.10695187165775401,0.09090909090909091,0.12987012987012986,0.10650887573964497,0.08181818181818182,0.15254237288135594,0.07092198581560284,0.045454545454545456,0.16129032258064516
random_xgb_08,random_search_fallback,none,8.575159710142179,0.35882511734962463,0.15894039735099338,0.5573313782991203,0.08860109076387007,0.13589260339702905,1.444,0.35882511734962463,0.11285266457680251,0.0861244019138756,0.16363636363636364,1390,191,92,18,0.12359550561797752,0.5,0.12222222222222222,0.15714285714285714,0.1,1522,59,99,11,0.04139562389118864,0.11873350923482849,0.4090909090909091,0.06944444444444445,0.12323943661971831,0.3181818181818182,0.07641921397379912,0.1278538812785388,0.2545454545454545,0.08536585365853659,0.10876132930513595,0.16363636363636364,0.08144796380090498,0.11940298507462686,0.14545454545454545,0.10126582278481013,0.12222222222222222,0.1,0.15714285714285714
random_xgb_13,random_search_fallback,none,4.521461582534691,0.21739669144153595,0.15158924205378974,0.5488039790696337,0.08661435103859147,0.1518722628272304,1.626,0.21739669144153595,0.11031175059952038,0.0749185667752443,0.20909090909090908,1297,284,87,23,0.18154937906564164,0.5,0.045112781954887216,0.13043478260869565,0.02727272727272727,1561,20,107,3,0.013601419278533412,0.1072961373390558,0.22727272727272727,0.0702247191011236,0.10951008645533142,0.17272727272727273,0.08016877637130802,0.11627906976744186,0.13636363636363635,0.10135135135135136,0.11764705882352941,0.10909090909090909,0.1276595744680851,0.10227272727272728,0.08181818181818182,0.13636363636363635,0.045112781954887216,0.02727272727272727,0.13043478260869565
