threshold,val_best_f1,test_oracle_threshold,test_oracle_f1,test_roc_auc,test_average_precision,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,branch,feature_set,source_group,source_weight,model,family,score_type,status,error,train_seconds,source_rows,test_precision,test_recall,tn,fp,fn,tp,blend_members,selection_rank
0.42169184868303566,0.1869918699186992,,,0.5439480190903341,0.07577061880997579,0.08035714285714286,0.07894736842105263,0.08181818181818182,1476,105,101,9,,0.014814814814814815,,,,,,,,auxiliary_transfer,common_schema,cell_orange,0.05,LR_balanced,LR_balanced,proba,ok,,1.344,62943.0,0.07894736842105263,0.08181818181818182,1476.0,105.0,101.0,9.0,,22.0
0.2070159535478488,0.18661257606490872,,,0.5614887010522684,0.10829215473508547,0.1419624217118998,0.0921409214092141,0.3090909090909091,1246,335,76,34,,0.017391304347826087,,,,,,,,auxiliary_transfer,common_schema,cell_orange,0.25,LGBM_balanced,LGBM_balanced,proba,ok,,1.502,62943.0,0.0921409214092141,0.3090909090909091,1246.0,335.0,76.0,34.0,,23.0
0.24181755296287563,0.18631178707224333,,,0.575139439940199,0.1147933307331962,0.17005545286506468,0.10672853828306264,0.41818181818181815,1196,385,64,46,,0.017857142857142856,,,,,,,,auxiliary_transfer,common_schema,ibm_cell_kdd,0.5,LGBM_balanced,LGBM_balanced,proba,ok,,2.455,108090.0,0.10672853828306264,0.41818181818181815,1196.0,385.0,64.0,46.0,,24.0
0.37756004269090776,0.186046511627907,,,0.5341958484273475,0.07362818787588904,0.07860262008733625,0.07563025210084033,0.08181818181818182,1471,110,101,9,,0.0,,,,,,,,auxiliary_transfer,common_schema,cell_orange,0.1,LR_balanced,LR_balanced,proba,ok,,1.115,62943.0,0.07563025210084033,0.08181818181818182,1471.0,110.0,101.0,9.0,,25.0
0.1758872873293251,0.1843137254901961,,,0.6312661721580127,0.11212407556386131,0.1908548707753479,0.12213740458015267,0.43636363636363634,1236,345,62,48,,0.0,,,,,,,,auxiliary_transfer,common_schema,all,0.5,LGBM_regularized,LGBM_regularized,proba,ok,,1.493,61240.0,0.12213740458015267,0.43636363636363634,1236.0,345.0,62.0,48.0,,26.0
0.506138288876622,0.1838006230529595,0.5176957126560325,0.1412213740458015,0.551262147087574,0.09271759118879008,0.13719512195121952,0.08241758241758242,0.4090909090909091,1080,501,65,45,0.3228858663512714,0.13001383125864455,0.0766721044045677,0.42727272727272725,1015.0,566.0,63.0,47.0,0.3625073920756949,baza_feature,engineered,baza_only,0.0,BalancedRF_d5,imbalance_ensemble,proba,ok,,5.937,,,,,,,,,27.0
0.17266903816150472,0.1835564053537285,,,0.616488413547237,0.1128916083845196,0.1839080459770115,0.11650485436893204,0.43636363636363634,1217,364,62,48,,0.0,,,,,,,,auxiliary_transfer,common_schema,cell,0.5,LGBM_regularized,LGBM_regularized,proba,ok,,4.464,51047.0,0.11650485436893204,0.43636363636363634,1217.0,364.0,62.0,48.0,,28.0
0.24818919854458563,0.18333333333333335,,,0.5656460238054166,0.10587762648114087,0.12396694214876033,0.11363636363636363,0.13636363636363635,1464,117,95,15,,0.0,,,,,,,,auxiliary_transfer,common_schema,hf_all_orange,0.5,LGBM_balanced,LGBM_balanced,proba,ok,,1.782,80179.0,0.11363636363636363,0.13636363636363635,1464.0,117.0,95.0,15.0,,29.0
0.06969696434473323,0.18323586744639378,0.06727734345883646,0.14915254237288134,0.5660801564027371,0.08180252311699812,0.1214574898785425,0.078125,0.2727272727272727,1227,354,80,30,0.22708456534594915,0.0,0.0,0.0,1581.0,0.0,110.0,0.0,0.0,baza_feature,core,baza_only,0.0,Ridge_balanced_calibrated,linear,proba,ok,,0.181,,,,,,,,,30.0
0.5255601406097412,0.183206106870229,,,0.5769248461848082,0.08470589204133921,0.14095238095238094,0.0891566265060241,0.33636363636363636,1203,378,73,37,,0.14873837981407703,,,,,,,,auxiliary_transfer,common_schema,hf_all_orange,0.1,XGB_weighted,XGB_weighted,proba,ok,,1.658,80179.0,0.0891566265060241,0.33636363636363636,1203.0,378.0,73.0,37.0,,31.0
0.20550981170793892,0.18312387791741475,,,0.6194727157725259,0.11060105562331801,0.17162872154115585,0.10629067245119306,0.44545454545454544,1169,412,61,49,,0.0,,,,,,,,auxiliary_transfer,common_schema,cell_orange,0.5,LGBM_regularized,LGBM_regularized,proba,ok,,1.565,62943.0,0.10629067245119306,0.44545454545454544,1169.0,412.0,61.0,49.0,,32.0
0.19352037526117585,0.18302387267904507,,,0.6103271807256627,0.10341824345600933,0.15938303341902313,0.09281437125748503,0.5636363636363636,975,606,48,62,,0.0,,,,,,,,auxiliary_transfer,common_schema,hf_all_orange,0.5,LGBM_regularized,LGBM_regularized,proba,ok,,1.97,80179.0,0.09281437125748503,0.5636363636363636,975.0,606.0,48.0,62.0,,33.0
0.30535697084721014,0.1825095057034221,,,0.601132769823472,0.10680204766487102,0.12878787878787878,0.11038961038961038,0.15454545454545454,1444,137,93,17,,0.0,,,,,,,,auxiliary_transfer,common_schema,ibm_cell_kdd,0.25,LGBM_regularized,LGBM_regularized,proba,ok,,3.148,108090.0,0.11038961038961038,0.15454545454545454,1444.0,137.0,93.0,17.0,,34.0
0.19380586862333551,0.18237082066869303,,,0.6027226726467714,0.10211684122566661,0.15963855421686746,0.09566787003610108,0.4818181818181818,1080,501,57,53,,0.0,,,,,,,,auxiliary_transfer,common_schema,hf_all_orange,0.25,LGBM_regularized,LGBM_regularized,proba,ok,,2.122,80179.0,0.09566787003610108,0.4818181818181818,1080.0,501.0,57.0,53.0,,35.0
0.2934624212449983,0.1818181818181818,,,0.5881547927088724,0.09933860665014563,0.125,0.09523809523809523,0.18181818181818182,1391,190,90,20,,0.017094017094017096,,,,,,,,auxiliary_transfer,common_schema,ibm_cell_kdd,0.1,LGBM_regularized,LGBM_regularized,proba,ok,,3.157,108090.0,0.09523809523809523,0.18181818181818182,1391.0,190.0,90.0,20.0,,36.0
0.19286777679739053,0.1813031161473088,,,0.5958225518946582,0.114989278259469,0.1634349030470914,0.09640522875816994,0.5363636363636364,1028,553,51,59,,0.0,,,,,,,,auxiliary_transfer,common_schema,cell_orange,0.25,LGBM_regularized,LGBM_regularized,proba,ok,,1.578,62943.0,0.09640522875816994,0.5363636363636364,1028.0,553.0,51.0,59.0,,37.0
