Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,Active_Ratio,Not_Active_subscribers,Mobile_Revenue_Ratio,Inactive_Ratio,CRM_PID_Value_Segment,EffectiveSegment,CHURN
-0.6792996305880947,-1.020645396964122,-0.06996441894440315,-1.0218749266640095,-0.12145155284339074,-0.8128506938384539,-0.15850393114154954,0.08437284514641268,0.8508982052893804,0.0,4.0,0
-0.6792996305880947,-1.020645396964122,-0.06996441894440315,-1.0218749266640095,-0.4383075842457735,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.38650363962906603,-1.0189879029230138,-0.06996441894440315,-1.020228352580467,-0.6898641015693802,-0.02759108937765716,-0.15850393114154954,0.08437284514641268,0.055456225045684364,2.0,4.0,0
-0.4841023032820756,-1.0189879029230138,-0.06996441894440315,-1.020228352580467,-0.6898641015693802,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,1
-0.38650363962906603,-1.0189879029230138,-0.06996441894440315,-1.020228352580467,-0.4356780736117288,-1.59811029829925,0.12457946838085027,0.08437284514641268,1.6463401855330766,2.0,4.0,0
-0.5817009669350851,-1.0189879029230138,-0.06996441894440315,-1.020228352580467,-0.4356780736117288,-0.42022089160805554,-0.15850393114154954,0.08437284514641268,0.45317721516753245,0.0,4.0,1
-0.28890497597605647,-1.0173304088819053,-0.06996441894440315,-1.0185817784969242,-0.5925722081097274,-1.2615704678160518,0.12457946838085027,0.08437284514641268,1.3054364797143496,7.0,4.0,0
-0.5817009669350851,-1.0173304088819053,-0.06996441894440315,-1.0185817784969242,-0.5925722081097274,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.6792996305880947,-1.0173304088819053,-0.06996441894440315,-1.0185817784969242,-0.43304856297768407,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.6792996305880947,-1.0173304088819053,-0.06996441894440315,-1.0185817784969242,-0.1140012727135976,-0.8128506938384539,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,2.0,4.0,0
-0.38650363962906603,-1.0173304088819053,-0.06996441894440315,-1.0185817784969242,0.8427023463063213,-3.168629507220843,0.40766286790325007,0.08437284514641268,3.2372241460204685,2.0,4.0,0
-0.5817009669350851,-1.0173304088819053,-0.06996441894440315,-1.0185817784969242,-0.5925722081097274,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.28890497597605647,-1.015770414490274,-0.06996441894440315,-1.0170320617124138,-0.4308573041159803,-1.9346501287824487,0.26612116814205017,0.08437284514641268,1.9872438913518033,0.0,4.0,0
-0.6792996305880947,-1.015770414490274,-0.06996441894440315,-1.0170320617124138,-0.4308573041159803,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.7768982942411042,-1.015770414490274,-0.06996441894440315,-1.0170320617124138,0.8497143746637736,-1.59811029829925,-0.15850393114154954,0.08437284514641268,1.6463401855330766,0.0,4.0,0
-0.38650363962906603,-1.0141129204491655,-0.06996441894440315,-1.0153854876288713,-0.6854815838459724,-0.02759108937765716,-0.15850393114154954,0.08437284514641268,0.055456225045684364,0.0,4.0,0
-0.6792996305880947,-1.0141129204491655,-0.06996441894440315,-1.0153854876288713,-0.42822779348193557,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.5817009669350851,-1.0124554264080572,-0.06996441894440315,-1.0137389135453285,-0.5873131868416381,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
